,artist,album_name,rating,album_link,genre,Unnamed: 0
0,['Ali Farka Touré'],['Voyageur'],['8.0'],['https://pitchfork.com/reviews/albums/ali-farka-toure-voyageur/'],['global'],
1,['Rema'],['Rave & Roses'],['7.2'],['https://pitchfork.com/reviews/albums/rema-rave-and-roses/'],['global'],
2,['Ibibio Sound Machine'],['Electricity'],['7.8'],['https://pitchfork.com/reviews/albums/ibibio-sound-machine-electricity/'],['global'],
3,['Adekunle Gold'],['Catch Me If You Can'],['6.8'],['https://pitchfork.com/reviews/albums/adekunle-gold-catch-me-if-you-can/'],['global'],
4,['Wadada Leo Smith'],['Pacifica Koral Reef'],['7.8'],['https://pitchfork.com/reviews/albums/wadada-leo-smith-henry-kaiser-alex-v-pacifica-koral-reef/'],['global'],
5,['Riad Awwad'],['The Intifada 1987'],['7.6'],['https://pitchfork.com/reviews/albums/riad-awwad-hanan-awwad-mahmoud-darwi-the-intifada-1987/'],['global'],
6,['King Sunny Adé'],['Juju Music'],['10'],['https://pitchfork.com/reviews/albums/king-sunny-ade-juju-music/'],['global'],
7,['Bomba Estéreo'],['Deja'],['7.0'],['https://pitchfork.com/reviews/albums/bomba-estereo-deja/'],['global'],
8,['Vivien Goldman'],['Next Is Now'],['6.6'],['https://pitchfork.com/reviews/albums/vivien-goldman-next-is-now/'],['global'],
9,['Sarz'],['Sweetness EP'],['7.4'],['https://pitchfork.com/reviews/albums/sarz-obongjayar-sweetness-ep/'],['global'],
10,['Hailu Mergia'],['Tezeta'],['7.6'],['https://pitchfork.com/reviews/albums/hailu-mergia-the-walias-band-tezeta/'],['global'],
11,['Femi Kuti'],['Legacy +'],['7.8'],['https://pitchfork.com/reviews/albums/femi-kuti-made-kuti-legacy/'],['global'],
12,['Toots and the Maytals'],['Got to Be Tough'],['6.5'],['https://pitchfork.com/reviews/albums/toots-and-the-maytals-got-to-be-tough/'],['global'],
13,['Vladislav Delay'],['500-Push-Up'],['6.6'],['https://pitchfork.com/reviews/albums/vladislav-delay-sly-dunbar-robbie-sh-500-push-up/'],['global'],
14,['Brian Eno'],['Spinner'],['7.7'],['https://pitchfork.com/reviews/albums/brian-eno-jah-wobble-spinner/'],['global'],
15,['Gordon Koang'],['Unity'],['7.3'],['https://pitchfork.com/reviews/albums/gordon-koang-unity/'],['global'],
16,['Roedelius'],['Selbstportrait Wahre Liebe'],['7.8'],['https://pitchfork.com/reviews/albums/roedelius-selbstportrait-wahre-liebe/'],['global'],
17,['Hailu Mergia'],['Yene Mircha'],['7.8'],['https://pitchfork.com/reviews/albums/hailu-mergia-yene-mircha/'],['global'],
18,['Toots and the Maytals'],['Funky Kingston'],['9.0'],['https://pitchfork.com/reviews/albums/toots-and-the-maytals-funky-kingston/'],['global'],
19,['Obongjayar'],['Which Way Is Forward? EP'],['7.8'],['https://pitchfork.com/reviews/albums/obongjayar-which-way-is-forward-ep/'],['global'],
20,['Slikback'],['Lasakaneku / Tomo'],['8.0'],['https://pitchfork.com/reviews/albums/slikback-lasakaneku-tomo/'],['global'],
21,['Santi'],['Mandy & the Jungle'],['6.0'],['https://pitchfork.com/reviews/albums/santi-mandy-and-the-jungle/'],['global'],
22,['Luka Productions'],['Falaw'],['6.2'],['https://pitchfork.com/reviews/albums/luka-productions-falaw/'],['global'],
23,['Rodrigo y Gabriela'],['Mettavolution'],['7.1'],['https://pitchfork.com/reviews/albums/various-artists-mettavolution/'],['global'],
24,['Gaye Su Akyol'],['İstikrarlı Hayal Hakikattir'],['7.7'],['https://pitchfork.com/reviews/albums/gaye-su-akyol-istikrarli-hayal-hakikattir/'],['global'],
25,['Milton Nascimento'],['Clube Da Esquina'],['9.5'],['https://pitchfork.com/reviews/albums/milton-nascimento-lo-borges-clube-da-esquina/'],['global'],
26,['Bamba Pana'],['Poaa'],['7.2'],['https://pitchfork.com/reviews/albums/bamba-pana-poaa/'],['global'],
27,['Ekuka Morris Sirikiti'],['Ekuka'],['7.3'],['https://pitchfork.com/reviews/albums/ekuka-moriss-sirikiti-ekuka/'],['global'],
28,['Jess Sah Bi'],['Our Garden Needs Its Flowers'],['7.7'],['https://pitchfork.com/reviews/albums/jess-sah-bi-peter-one-our-garden-needs-its-flowers/'],['global'],
29,['Ram'],['RAM 7: August 1791'],['7.8'],['https://pitchfork.com/reviews/albums/ram-ram-7-august-1791/'],['global'],
30,['Midori Takada'],['Le Renard Bleu EP'],['7.6'],['https://pitchfork.com/reviews/albums/midori-takada-lafawndah-le-renard-bleu-ep/'],['global'],
31,['Domenico Lancellotti'],['The Good Is a Big God'],['7.5'],['https://pitchfork.com/reviews/albums/domenico-lancellotti-the-good-is-a-big-god/'],['global'],
32,['Hailu Mergia'],['Lala Belu'],['8.0'],['https://pitchfork.com/reviews/albums/hailu-mergia-lala-belu/'],['global'],
33,['Fela Kuti'],['Fela Kuti Box Set #4'],['8.5'],['https://pitchfork.com/reviews/albums/fela-kuti-fela-kuti-box-set-4/'],['global'],
34,['Amadou & Mariam'],['La Confusion'],['7.7'],['https://pitchfork.com/reviews/albums/amadou-and-mariam-la-confusion/'],['global'],
35,['Joe Bataan'],['Gypsy Woman'],['8.2'],['https://pitchfork.com/reviews/albums/joe-bataan-gypsy-woman/'],['global'],
36,['Chronixx'],['Chronology'],['7.6'],['https://pitchfork.com/reviews/albums/chronixx-chronology/'],['global'],
37,['Cybe'],['Tropisch Verlangen'],['7.8'],['https://pitchfork.com/reviews/albums/cybe-tropisch-verlangen/'],['global'],
38,['Amir ElSaffar'],['Not Two'],['7.9'],['https://pitchfork.com/reviews/albums/amir-elsaffar-rivers-of-sound-not-two/'],['global'],
39,['Arve Henriksen'],['Towards Language'],['7.6'],['https://pitchfork.com/reviews/albums/23342-towards-language/'],['global'],
40,['King Tubby & the Aggrovators'],['Dubbing in the Backyard'],['7.4'],['https://pitchfork.com/reviews/albums/23272-king-tubby-the-aggrovators-dubbing-in-the-backyard/'],['global'],
41,['Major Lazer'],['Know No Better EP'],['6.4'],['https://pitchfork.com/reviews/albums/23379-know-no-better-ep/'],['global'],
42,['Omar Souleyman'],"['To Syria, With Love']",['6.5'],['https://pitchfork.com/reviews/albums/23277-to-syria-with-love/'],['global'],
43,['Jaco Pastorius'],"['Truth, Liberty & Soul - Live in NYC: The Complete 1982 NPR Jazz Alive! Recording']",['8.1'],['https://pitchfork.com/reviews/albums/23126-truth-liberty-soul-live-in-nyc-the-complete-1982-npr-jazz-alive-recording/'],['global'],
44,['Mulatu Astatke'],['Mulatu Of Ethiopia'],['8.7'],['https://pitchfork.com/reviews/albums/23241-mulatu-of-ethiopia/'],['global'],
45,['MC Bin Laden'],['É Grau EP'],['7.7'],['https://pitchfork.com/reviews/albums/23259-mc-bin-laden-e-grau-ep/'],['global'],
46,['Orchestra Baobab'],['Tribute to Ndiouga Dieng'],['7.5'],['https://pitchfork.com/reviews/albums/23021-tribute-to-ndiouga-dieng/'],['global'],
47,['Janka Nabay and the Bubu Gang'],['Build Music'],['6.9'],['https://pitchfork.com/reviews/albums/23036-build-music/'],['global'],
48,['Wailing Souls'],['Wailing'],['8.7'],['https://pitchfork.com/reviews/albums/23024-wailing/'],['global'],
49,['Midori Takada'],['Through the Looking Glass'],['8.7'],['https://pitchfork.com/reviews/albums/22989-through-the-looking-glass/'],['global'],
50,['Erasmo Carlos'],"['Erasmo Carlos E Os Tremendões / Carlos, ERASMO... / Sonhos E Memórias 1941-1972']",['9.0'],['https://pitchfork.com/reviews/albums/22908-erasmo-carlos-e-os-tremendoes-carlos-erasmo-sonhos-e-memorias-1941-1972/'],['global'],
51,['Ibibio Sound Machine'],['Uyai'],['7.0'],['https://pitchfork.com/reviews/albums/22977-uyai/'],['global'],
52,['Tinariwen'],['Elwan'],['8.2'],['https://pitchfork.com/reviews/albums/22865-elwan/'],['global'],
53,['Gaye Su Akyol'],['Hologram İmparatorluğu'],['7.4'],['https://pitchfork.com/reviews/albums/22662-hologram-imparatorlugu/'],['global'],
54,['The Orchestra of Syrian Musicians'],['Africa Express Presents... The Orchestra of Syrian Musicians & Guests'],['8.0'],['https://pitchfork.com/reviews/albums/22679-africa-express-presents-the-orchestra-of-syrian-musicians-guests/'],['global'],
55,"[""Mark Ernestus' Ndagga Rhythm Force""]",['Yermande'],['8.0'],['https://pitchfork.com/reviews/albums/22461-yermande/'],['global'],
56,['Pat Thomas'],['Coming Home (Original Ghanaian Highlife & Afrobeat Classics 1967-1981)'],['7.2'],['https://pitchfork.com/reviews/albums/22372-coming-home-original-ghanaian-highlife-afrobeat-classics-1967-1981/'],['global'],
57,['Luísa Maita'],['Fio da Memória'],['7.7'],['https://pitchfork.com/reviews/albums/22435-fio-da-memoria/'],['global'],
58,['A Tribe Called Red'],['We Are the Halluci Nation'],['8.1'],['https://pitchfork.com/reviews/albums/22384-we-are-the-halluci-nation/'],['global'],
59,['M.I.A.'],['AIM'],['5.9'],['https://pitchfork.com/reviews/albums/22396-aim/'],['global'],
